Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata,Rata-rata (Next Sem)
78,82,83,61,85,66,89,90,81,89,92,63,87,92,79,92,81,79,81,62,78,62,84,89,78,88,84,57,78,95,73,86,81.81,78.44
76,66,82,94,79,65,76,89,69,91,65,94,95,81,75,79,72,68,77,100,84,65,80,92,72,90,62,87,97,76,69,76,79.75,79.19
90,62,82,93,84,87,84,89,93,79,73,60,73,79,95,91,100,66,84,96,88,89,74,85,96,69,66,67,71,91,89,90,82.12,82.56
88,60,81,91,60,92,83,65,73,65,63,78,69,91,79,65,91,63,84,93,61,92,75,67,75,65,66,76,77,91,79,68,75.19,76.44
68,74,93,65,62,80,73,79,93,72,91,95,69,67,67,89,69,78,87,77,62,75,73,73,100,81,88,97,77,69,65,95,77.31,79.12
79,63,65,67,85,60,64,68,94,76,66,93,65,65,79,89,73,59,66,68,81,55,58,70,99,75,58,90,63,55,75,100,73.62,71.56
68,92,70,94,75,76,80,71,80,60,93,82,75,60,87,91,61,91,70,96,80,84,81,81,81,57,92,97,69,58,82,92,78.38,79.5
80,70,90,89,74,70,84,65,81,94,71,74,60,70,80,76,73,74,89,89,76,70,86,68,83,97,70,64,59,70,86,85,76.75,77.44
61,62,89,69,66,80,82,62,66,66,84,79,77,77,73,84,50,64,93,75,66,77,82,59,68,67,79,87,75,78,75,87,73.56,73.88
87,66,68,66,62,78,60,93,65,73,92,67,90,80,92,81,87,77,78,67,58,79,55,88,62,77,86,58,84,82,88,75,76.25,75.06
68,80,73,80,91,68,79,76,87,60,93,65,75,75,80,90,65,84,75,82,89,66,80,70,90,67,92,60,72,80,88,100,77.5,78.75
78,71,73,79,93,62,63,94,76,85,83,61,91,65,68,62,80,71,69,80,99,63,55,100,75,85,86,63,96,57,66,64,75.25,75.56
77,68,94,78,65,88,72,63,67,93,60,79,68,86,77,81,66,71,96,79,63,91,75,54,66,95,57,82,72,95,78,78,76.0,76.12
95,94,72,79,71,60,81,86,60,73,73,77,89,72,67,64,87,100,72,74,78,66,84,89,53,73,77,76,90,72,60,62,75.81,75.81
87,79,94,77,84,78,75,66,85,83,94,86,79,95,95,82,88,73,100,76,87,72,81,59,91,79,84,86,82,100,100,71,83.69,83.06
66,83,95,86,81,74,71,92,95,80,84,86,66,79,87,80,60,88,100,91,80,76,69,84,94,79,91,95,70,81,85,82,81.56,82.81
68,71,86,84,77,63,75,79,79,61,87,93,65,67,69,68,71,66,91,84,80,57,82,83,79,62,94,87,64,66,73,63,74.5,75.12
77,67,91,68,80,72,82,67,73,70,91,94,75,87,92,75,80,65,95,69,81,66,86,67,72,74,85,88,78,96,100,72,78.81,79.62
76,69,64,78,82,85,86,70,61,72,71,70,80,85,65,62,76,72,68,79,88,87,100,77,63,77,79,63,78,85,69,60,73.5,76.31
90,73,92,75,85,76,64,88,90,73,64,70,77,80,80,83,91,69,98,74,81,79,64,82,89,69,65,79,76,73,84,84,78.75,78.56
70,84,75,87,94,65,64,89,73,90,67,78,71,69,62,85,65,82,71,93,94,54,67,89,65,88,70,79,68,72,67,80,76.44,75.25
75,93,86,82,75,95,69,70,86,78,69,66,91,71,86,94,79,93,80,84,74,97,82,73,86,77,77,67,90,69,87,93,80.38,81.75
62,87,80,65,91,89,63,90,92,76,66,66,95,63,63,63,62,85,75,57,89,90,53,86,97,79,69,67,88,66,63,64,75.69,74.38
61,63,94,61,71,65,72,80,80,75,79,90,74,72,85,89,55,59,100,70,68,69,67,85,73,64,72,86,76,73,85,88,75.69,74.38
90,69,61,64,65,79,93,62,77,67,85,62,81,79,94,67,97,73,64,72,69,79,95,58,79,73,87,56,74,73,96,64,74.69,75.56
69,69,83,74,70,72,82,68,74,91,82,71,61,70,87,95,69,62,83,77,76,69,86,66,74,91,84,74,58,74,88,98,76.12,76.81
62,83,70,60,69,86,75,83,73,84,71,66,63,95,86,69,68,85,72,59,64,94,84,87,73,76,78,64,64,94,91,65,74.69,76.12
91,94,72,90,79,82,95,84,73,71,89,78,66,69,82,72,88,94,65,93,74,75,93,94,74,68,86,72,61,68,81,83,80.44,79.31
81,61,64,66,88,77,65,77,70,85,72,70,77,90,71,78,76,58,68,65,83,74,62,83,72,87,77,66,67,93,76,80,74.5,74.19
67,72,83,78,88,74,61,71,90,93,68,74,86,69,73,61,61,73,79,76,86,62,60,68,89,87,68,79,98,60,72,57,75.5,73.44
80,63,71,91,61,62,91,73,76,68,64,72,62,67,90,73,79,58,72,89,56,65,91,70,72,71,65,77,69,64,84,72,72.75,72.12
70,94,78,88,85,94,60,62,76,62,79,90,75,95,91,93,78,92,82,89,83,99,66,66,86,66,90,99,79,91,93,94,80.75,84.56
73,71,61,84,73,64,63,66,75,95,81,82,69,64,64,87,63,64,61,76,68,70,63,64,80,99,87,89,63,60,68,88,73.25,72.69
61,72,77,72,79,64,61,94,75,76,83,77,82,90,68,89,58,76,80,69,88,63,71,92,68,64,88,74,76,88,65,88,76.25,75.5
94,84,92,72,67,90,72,63,67,67,79,70,81,61,92,83,92,72,90,70,67,93,66,66,66,64,80,71,75,49,87,78,77.12,74.12
95,78,60,69,91,73,91,63,77,79,63,61,62,95,62,94,97,81,59,62,93,82,86,62,77,81,56,65,57,99,61,95,75.81,75.81
90,95,71,92,88,95,66,95,74,79,66,64,63,95,68,72,83,100,68,94,84,89,61,93,71,74,64,66,65,100,76,75,79.56,78.94
68,84,67,88,64,83,65,76,88,73,75,88,69,93,80,91,66,90,63,93,59,93,63,78,96,80,75,90,67,96,78,100,78.25,80.44
68,68,63,94,73,72,78,66,77,78,77,73,71,65,95,69,73,58,60,93,73,72,82,64,79,78,91,75,76,59,95,63,74.19,74.44
83,77,85,87,91,77,61,69,62,69,69,61,82,86,95,66,89,86,87,93,93,75,51,76,68,72,77,68,85,86,99,59,76.25,79.0
74,89,67,87,78,92,84,68,89,79,68,95,77,79,92,77,73,95,71,90,87,90,80,68,92,73,66,94,82,84,92,79,80.94,82.25
93,66,60,87,84,88,65,87,80,95,67,92,95,86,71,69,87,67,55,80,98,80,65,85,84,92,65,92,96,87,59,69,80.31,78.81
90,94,90,92,66,92,85,84,76,77,62,86,68,85,91,72,85,90,83,88,64,82,87,81,70,83,58,79,70,88,96,74,81.88,79.88
65,87,95,85,71,77,87,76,90,94,74,87,61,87,63,80,64,81,100,93,65,75,87,76,88,95,72,92,64,79,56,82,79.94,79.31
89,72,61,80,69,69,77,73,74,65,86,83,75,95,75,92,88,73,59,79,64,73,78,74,77,60,84,79,73,94,64,87,77.19,75.38
72,93,72,77,70,89,76,90,81,90,77,91,60,76,92,76,64,86,72,77,67,90,74,96,76,91,73,89,61,71,96,68,80.12,78.19
61,61,82,60,93,70,83,72,79,94,76,69,79,93,73,74,59,60,86,53,96,76,88,66,79,84,77,80,78,90,71,71,76.19,75.88
86,86,71,73,94,64,78,90,73,63,88,90,61,74,85,86,95,87,79,79,95,71,81,93,72,67,94,85,61,74,86,78,78.88,81.06
69,63,86,60,94,91,85,79,94,85,90,80,74,85,74,80,67,73,88,64,89,97,76,76,100,85,92,75,85,95,73,77,80.56,82.0
89,70,66,89,60,90,76,60,95,89,83,67,90,83,77,72,93,74,64,90,58,90,80,68,99,98,83,60,83,83,75,70,78.5,79.25
81,86,77,78,91,69,86,83,69,91,77,78,86,86,87,95,86,90,80,82,93,64,98,83,69,87,77,73,84,84,83,98,82.5,83.19
82,95,72,66,64,72,74,75,63,65,76,68,69,86,93,90,87,100,75,62,73,66,78,71,60,76,71,65,57,87,96,88,75.62,75.75
61,78,72,86,74,85,89,74,82,75,76,76,89,88,86,93,63,86,73,89,76,85,87,70,88,79,76,83,95,88,78,94,80.25,81.88
61,93,61,79,82,82,80,81,73,62,90,65,65,94,73,88,56,81,67,82,75,86,75,80,69,63,95,67,61,99,76,87,76.81,76.19
74,82,80,75,89,75,79,73,70,86,63,92,86,66,80,66,80,86,80,66,99,68,77,77,70,85,59,89,92,72,82,76,77.25,78.62
77,76,71,83,85,84,70,94,84,83,86,67,81,68,67,91,71,82,69,91,81,82,65,96,86,80,94,73,87,70,60,87,79.19,79.62
91,85,68,86,86,94,69,61,79,71,89,61,87,91,63,64,91,84,65,95,77,92,73,62,73,71,86,65,80,86,65,66,77.81,76.94
80,84,61,89,77,69,91,67,86,81,79,78,60,84,71,90,86,91,58,77,74,68,87,65,87,83,81,84,63,69,70,91,77.94,77.12
86,76,95,88,86,87,91,75,79,63,85,69,66,82,83,82,86,81,100,86,92,85,92,71,76,59,85,72,71,78,87,87,80.81,81.75
77,75,71,65,72,78,93,68,88,66,71,75,67,69,68,91,79,73,68,65,70,72,91,68,91,65,60,75,70,68,64,90,74.62,73.06
85,63,69,67,86,61,82,66,62,90,87,83,95,69,72,83,87,66,64,69,87,57,82,72,60,86,95,73,95,68,67,80,76.25,75.5
70,90,79,91,77,70,77,85,70,85,70,74,89,83,95,84,79,94,84,91,65,60,71,85,76,84,68,63,89,83,93,80,80.56,79.06
76,66,90,82,85,71,80,62,84,67,90,72,92,88,73,84,81,64,100,89,89,60,75,61,82,74,91,69,88,94,73,80,78.88,79.38
64,75,93,92,92,86,62,76,66,61,69,72,74,61,81,75,65,77,97,92,87,89,57,79,70,51,56,72,86,65,73,72,74.94,74.25
64,83,81,66,77,85,73,76,63,93,88,72,60,81,89,69,68,93,78,73,84,90,69,71,69,84,83,67,60,79,87,69,76.25,76.5
66,78,82,67,90,86,86,69,85,81,87,60,78,85,61,70,59,77,81,72,93,90,85,70,79,83,85,55,79,93,70,65,76.94,77.25
67,85,86,70,86,89,77,72,63,73,74,65,90,63,69,83,60,88,100,68,92,94,77,84,56,75,74,62,90,73,68,80,75.75,77.56
69,73,71,72,80,91,94,75,86,69,62,64,80,93,85,61,63,70,73,76,75,91,93,73,91,80,62,61,77,85,91,61,76.56,76.38
74,77,88,94,61,91,85,78,63,61,60,78,94,69,70,83,76,74,92,89,61,91,82,79,60,72,60,76,98,73,77,79,76.62,77.44
79,69,61,68,93,60,60,65,69,65,81,91,65,94,79,95,75,68,53,72,99,71,59,67,68,64,83,95,61,92,71,99,74.62,74.81
81,70,90,70,72,94,89,94,86,87,81,92,84,75,81,85,83,68,93,77,81,95,88,96,85,92,84,93,82,81,80,85,83.19,85.19
92,71,75,82,93,60,94,63,91,88,60,88,95,63,63,88,90,65,79,73,99,65,86,69,89,89,59,95,95,59,61,83,79.12,78.5
74,89,77,90,60,95,91,80,92,65,94,62,78,77,68,93,67,99,79,94,57,89,90,82,95,64,100,64,84,85,68,98,80.31,82.19
64,83,80,76,89,85,72,64,72,71,92,67,78,79,79,74,60,87,73,85,98,78,71,59,77,71,100,63,87,82,73,75,76.56,77.44
80,64,84,77,62,78,68,90,67,68,75,79,94,92,84,82,82,59,87,75,71,83,68,80,70,62,81,71,95,84,88,78,77.75,77.12
60,79,68,94,63,94,93,91,81,63,64,79,88,71,82,90,50,79,70,97,69,100,100,93,75,55,62,78,94,80,92,96,78.75,80.62
63,93,64,80,82,67,64,83,89,81,60,95,94,92,94,65,66,93,61,71,89,65,69,82,97,87,60,89,82,86,93,70,79.12,78.75
71,87,67,65,87,86,89,86,75,84,92,78,81,68,95,78,73,87,76,70,92,94,100,90,76,84,94,80,80,64,86,73,80.56,82.44
72,93,94,93,82,76,94,94,65,65,78,83,90,86,75,82,72,88,86,90,76,79,93,95,78,60,75,91,83,83,65,82,82.62,81.0
63,71,93,88,86,93,64,73,78,88,70,64,79,93,77,60,55,74,99,95,90,91,67,64,79,90,73,58,80,92,78,59,77.5,77.75
82,82,87,76,76,68,91,91,67,81,80,73,63,93,93,86,89,81,82,75,74,60,86,99,75,82,78,75,60,96,91,94,80.56,81.06
85,90,85,82,76,61,95,63,78,83,63,71,73,71,87,61,92,89,88,84,81,56,100,68,82,83,65,68,77,80,79,64,76.5,78.5
78,76,76,94,75,74,71,82,76,61,68,61,94,83,62,93,88,74,73,90,73,74,69,86,67,56,64,54,94,72,65,94,76.5,74.56
85,95,93,95,92,91,87,79,75,74,60,84,67,88,72,69,80,97,96,97,85,94,92,72,84,70,70,92,62,92,68,72,81.62,82.69
88,78,62,81,87,92,80,94,92,79,66,68,76,89,67,85,91,84,71,91,84,95,75,95,100,80,75,70,79,85,75,84,80.25,83.38
90,77,93,75,62,95,63,92,87,93,63,67,77,89,69,86,96,80,98,69,59,94,59,95,89,92,63,68,79,96,69,80,79.88,80.38
71,68,83,65,85,71,85,77,64,62,74,77,80,65,79,74,63,76,75,72,85,70,90,76,68,56,81,69,81,63,76,71,73.75,73.25
75,83,79,81,93,64,79,64,61,79,82,61,72,64,85,84,81,85,86,78,100,58,78,73,63,82,79,61,67,54,84,83,75.38,75.75
75,67,94,75,62,78,83,84,70,75,78,87,94,82,60,93,80,59,100,68,66,77,86,77,71,75,79,94,89,83,51,100,78.56,78.44
78,95,67,93,73,66,78,73,64,91,73,94,91,77,84,87,76,84,66,95,78,65,81,72,63,83,72,93,100,76,83,78,80.25,79.06
73,72,70,84,66,81,75,61,88,62,81,71,83,65,78,73,67,67,67,87,62,90,72,65,90,67,86,78,80,66,81,72,73.94,74.81
91,67,82,90,65,84,70,84,86,63,94,72,85,68,92,65,89,75,80,84,67,83,83,84,89,60,86,77,90,61,88,67,78.62,78.94
66,80,87,62,65,84,68,83,90,87,84,62,60,91,78,71,68,78,87,63,69,74,75,80,88,94,89,74,61,89,76,73,76.12,77.38
66,86,88,68,62,77,64,68,93,91,92,84,95,76,83,85,68,88,95,69,71,79,65,68,93,91,95,86,95,73,86,74,79.88,81.0
78,85,88,63,93,69,60,64,93,86,81,65,60,92,63,67,87,84,88,66,95,69,56,67,96,84,74,72,63,98,62,61,75.44,76.38
66,61,92,83,88,82,88,92,89,71,67,85,88,90,95,79,74,57,92,88,84,89,89,86,93,71,65,76,84,87,86,77,82.25,81.12
70,60,85,77,71,76,84,77,92,69,84,60,79,85,65,84,69,63,79,78,61,78,76,73,85,62,88,58,84,95,65,95,76.12,75.56
89,82,86,62,63,91,79,75,61,83,79,94,71,62,68,86,100,78,87,69,63,94,77,71,67,81,86,96,75,63,73,90,76.94,79.38
70,95,85,72,64,78,64,88,69,63,71,62,60,91,69,60,69,96,87,77,58,83,66,76,71,59,76,59,65,91,64,67,72.56,72.75
75,94,69,81,77,67,60,64,72,81,78,82,87,88,83,90,74,100,58,77,73,71,61,62,74,82,87,76,89,83,81,82,78.0,76.88
93,60,68,75,86,76,73,75,78,87,94,87,62,62,83,62,88,71,67,70,85,81,75,78,74,83,92,95,63,60,87,58,76.31,76.69
70,81,68,95,66,66,69,65,83,88,60,95,63,60,65,77,80,80,69,94,64,68,69,64,85,91,64,92,71,59,79,80,73.19,75.56
90,62,64,94,64,69,81,70,84,76,92,71,67,65,63,88,96,52,62,94,58,64,79,66,81,70,91,70,66,68,70,93,75.0,73.75
78,68,81,60,81,79,94,60,88,81,62,74,61,61,90,82,71,67,83,63,75,81,85,63,78,89,66,76,52,64,96,81,75.0,74.38
91,60,61,80,83,67,84,61,68,75,81,64,64,60,71,76,89,65,55,75,77,67,85,63,73,81,83,72,75,60,65,76,71.62,72.56
90,88,72,75,65,60,65,87,63,89,94,70,68,71,72,91,84,82,68,78,59,52,55,82,63,90,97,75,67,75,76,96,76.25,74.94
75,80,81,76,91,64,79,65,86,86,90,74,77,62,87,94,71,78,75,86,89,63,91,64,77,86,85,80,72,68,87,100,79.19,79.5
60,84,83,74,85,94,67,92,85,71,63,75,72,61,83,72,47,83,77,79,87,84,71,91,84,74,60,82,67,63,81,71,76.31,75.06
79,82,94,68,90,66,67,79,71,81,63,85,92,61,85,62,82,82,98,66,84,64,66,81,64,79,65,80,90,60,86,61,76.56,75.5
86,73,90,72,85,60,64,89,66,88,85,69,92,87,91,60,79,67,91,76,84,61,69,90,72,91,82,66,94,83,94,56,78.56,78.44
74,95,82,78,87,86,85,90,66,79,92,62,70,77,64,77,68,93,82,86,84,88,88,83,61,78,97,56,64,77,57,81,79.0,77.69
64,84,87,84,77,63,62,65,85,64,77,65,76,90,81,84,67,85,87,90,69,58,66,63,86,56,75,51,74,88,78,89,75.5,73.88
94,73,76,62,95,72,94,81,87,79,62,72,84,91,69,62,96,78,79,56,99,80,91,79,89,73,63,67,88,96,67,68,78.31,79.31
62,67,78,89,65,60,80,87,60,71,90,65,82,64,70,77,62,67,74,88,66,60,83,87,59,75,95,62,86,65,80,71,72.94,73.75
73,92,88,78,71,68,88,85,92,86,79,61,68,84,82,67,71,97,89,86,79,68,83,80,91,93,84,65,68,87,82,68,78.88,80.69
85,72,65,71,69,64,62,79,94,74,73,79,67,64,62,65,81,73,64,79,59,62,64,73,96,71,73,77,72,56,67,54,71.56,70.06
76,64,81,76,83,78,78,85,65,87,76,63,61,86,62,75,67,65,79,79,87,86,70,84,72,82,78,60,63,92,64,71,74.75,74.94
75,74,76,73,80,82,70,81,82,91,91,79,94,74,94,79,67,78,76,77,84,76,61,79,81,89,88,76,89,74,91,83,80.94,79.31
67,73,85,82,61,76,83,80,95,86,79,91,78,92,87,87,65,74,81,84,61,72,84,80,98,91,79,94,76,99,84,82,81.38,81.5
86,77,68,94,66,81,79,61,75,78,90,77,87,63,60,87,88,77,64,98,70,85,79,66,75,76,86,78,90,62,62,81,76.81,77.31
93,90,94,80,70,93,94,82,89,82,68,77,77,87,88,73,84,81,91,81,74,87,91,81,92,85,74,72,68,83,94,68,83.56,81.62
60,80,66,60,64,83,88,88,82,80,81,74,70,67,73,64,66,74,68,68,66,85,90,82,82,72,83,75,68,77,72,68,73.75,74.75
93,95,64,68,77,67,70,65,70,80,62,83,89,75,92,79,82,87,58,70,73,61,68,63,67,74,70,83,93,68,92,72,76.81,73.81
85,80,93,84,94,81,76,74,67,84,75,77,69,80,88,94,90,77,91,90,87,90,74,74,65,87,69,86,61,75,93,96,81.31,81.56
88,72,65,95,70,77,65,83,73,86,70,88,66,60,87,70,90,73,65,95,68,73,67,86,68,92,68,87,60,63,88,77,75.94,76.25
91,69,77,81,71,75,88,73,75,88,63,69,73,69,95,81,87,57,84,82,79,81,94,65,76,85,60,69,76,61,92,75,77.38,76.44
92,77,75,79,91,85,76,95,61,65,72,62,79,81,81,93,92,87,81,70,96,85,67,99,64,67,70,61,69,78,81,94,79.0,78.81
65,61,87,85,72,74,90,89,95,93,79,62,64,92,61,60,72,53,84,83,81,74,89,85,88,100,80,66,55,95,62,51,76.81,76.12
87,69,60,67,88,77,94,67,87,68,85,72,68,94,95,74,90,66,54,69,87,81,86,70,77,79,78,74,73,99,88,68,78.25,77.44
80,87,81,91,64,88,86,87,85,92,80,71,87,72,67,77,82,86,84,93,68,84,84,89,80,89,72,80,84,71,64,81,80.94,80.69
83,76,66,85,83,84,62,93,66,86,81,71,92,86,76,62,81,76,64,85,85,82,51,94,63,86,85,68,100,71,79,68,78.25,77.38
65,78,67,77,77,65,76,75,91,84,94,61,73,82,92,91,58,86,60,82,76,67,78,73,93,76,99,50,70,87,98,90,78.0,77.69
93,83,87,76,84,82,70,89,91,82,74,91,80,94,60,90,92,81,100,68,88,71,74,99,92,86,72,87,79,95,62,98,82.88,84.0
84,86,61,83,78,63,61,76,94,78,92,71,63,74,65,79,81,87,54,92,73,68,56,76,90,85,96,79,65,76,60,77,75.5,75.94
68,86,85,71,95,64,60,88,80,91,90,87,70,63,90,66,67,79,96,66,98,59,62,86,86,100,95,88,79,63,98,72,78.38,80.88
87,78,94,69,67,76,77,62,63,66,93,88,92,93,80,78,95,76,93,66,61,76,74,51,64,67,93,91,100,93,77,81,78.94,78.62
60,73,92,87,73,88,77,88,72,69,93,60,65,64,71,85,64,79,94,82,72,79,76,84,83,71,86,66,61,63,75,87,76.06,76.38
68,95,90,77,73,69,79,84,77,94,66,95,70,78,66,66,71,100,100,70,64,60,76,85,78,92,65,99,67,76,60,71,77.94,77.12
61,80,88,62,81,94,91,72,92,72,64,66,94,89,65,95,65,84,90,59,71,90,87,64,96,77,59,61,100,84,70,82,79.12,77.44
94,92,93,77,63,89,60,69,94,60,60,77,85,78,66,70,91,93,97,74,65,93,62,78,90,62,62,74,88,88,63,67,76.69,77.94
94,79,90,63,89,67,83,87,81,86,67,75,67,94,69,90,88,79,91,68,93,67,85,90,76,92,67,78,75,90,68,90,80.06,81.06
89,83,65,66,79,72,78,60,66,67,82,85,86,72,86,93,86,79,55,71,87,76,73,59,61,72,87,85,88,77,81,100,76.81,77.31
70,88,61,61,81,60,79,67,87,82,74,81,84,63,68,76,72,94,64,55,92,65,77,65,90,86,76,80,80,64,63,82,73.88,75.31
82,60,60,66,95,84,78,81,73,77,67,62,69,75,76,95,79,56,65,71,96,80,81,75,76,75,60,57,68,81,74,94,75.0,74.25
65,88,66,80,69,65,68,80,67,69,91,88,95,69,71,65,61,84,69,79,74,68,65,84,68,70,90,97,98,73,63,62,74.75,75.31
79,78,65,81,65,89,63,71,77,76,62,78,88,65,78,71,83,76,68,86,70,78,57,67,78,76,60,87,87,68,84,75,74.12,75.0
92,84,81,69,91,66,67,79,73,66,71,90,75,62,67,82,100,89,78,73,98,67,64,85,75,72,65,89,76,61,63,79,75.94,77.12
95,74,89,93,95,61,84,86,64,66,74,77,87,77,93,92,87,80,91,98,99,48,81,87,65,66,70,73,87,74,95,97,81.69,81.12
77,64,61,72,83,63,80,78,76,87,62,76,89,68,73,78,81,66,63,71,84,66,81,82,76,92,67,76,92,73,66,78,74.19,75.88
84,89,90,82,94,92,65,77,75,84,64,80,64,90,63,68,83,89,87,90,95,86,70,79,75,86,72,77,59,93,56,69,78.81,79.12
